family,name,avg_cyc,max_cyc,pct_avg,pct_max,checksum
system,empty_callback,2,12,0.00,0.00,ea306fb5
system,mod_plane_2x_center,61080,62805,6.36,6.54,61d42d20
system,synth_1_voice,59462,60400,6.19,6.29,42bccc87
system,synth_2_voices,103902,105352,10.82,10.97,d8de180d
system,synth_4_voices,187058,189755,19.48,19.76,e9a1c12b
system,fx_none,30177,30229,3.14,3.14,f6e77ae9
system,fx_grit,53674,54015,5.59,5.62,087b7265
system,fx_flux_sdram,74002,75609,7.70,7.87,6185cf6d
system,fx_comp,38022,38111,3.96,3.96,c7e77d03
system,oliverb_solo_sram,90040,90912,9.37,9.47,f09fa14e
system,instrument_init,601203,715218,62.62,74.50,a21781a5
system,instrument_worst,893883,946022,93.11,98.54,d3eb5114
system,instrument_worst_taps,946947,998856,98.64,104.04,e974baa3
voice,morph_osc_bare,8142,8509,0.84,0.88,283a1d87
voice,modal_voice,361244,362379,37.62,37.74,86f76dcb
voice,string_voice,116591,124413,12.14,12.95,e52ad638
voice,resonator,328759,329387,34.24,34.31,ca6f6722
voice,formant_osc,17668,17927,1.84,1.86,5a1e5767
voice,vosim_osc,55346,55720,5.76,5.80,4f6c0bbb
voice,harmonic_osc,28537,29051,2.97,3.02,4deccc28
voice,grainlet_osc,39251,40525,4.08,4.22,e6405e79
voice,z_osc,60414,60704,6.29,6.32,8fd0220b
voice,variable_shape_osc,11007,11632,1.14,1.21,31359d21
mem,grain_read_sram,29201,29686,3.04,3.09,de55bd08
mem,grain_read_sdram,154368,162331,16.08,16.90,de55bd08
mem,oliverb_sdram,116487,126430,12.13,13.16,f09fa14e
mem,echo_walk_sram,1501,1731,0.15,0.18,eef5bd05
mem,echo_walk_sdram,4961,8454,0.51,0.88,eef5bd05
mod,lane_flow_shape00,25378,26384,2.64,2.74,c658da9d
mod,lane_flow_shape03,20307,20613,2.11,2.14,b48a421e
mod,lane_flow_shape07,19974,20612,2.08,2.14,90b8af63
mod,lane_flow_shape10,18378,18593,1.91,1.93,e4a20384
mod,lane_step_shape00,11644,13130,1.21,1.36,8291294e
mod,super_mod_5lanes,29179,29944,3.03,3.11,87972e50
mod,center_tick,4860,4968,0.50,0.51,295f48c7
abl,micro_sinf,11394,11444,1.18,1.19,bc112759
abl,micro_tanhf,20347,20433,2.11,2.12,a14ff2c5
abl,micro_powf,18920,18998,1.97,1.97,ff3de3b5
abl,micro_fast_sin,6178,6216,0.64,0.64,63cddd75
abl,part_glue_flow,104871,108612,10.92,11.31,ea306fb5
abl,inst_worst_noflux,789683,820636,82.25,85.48,30ec4dc5
abl,inst_worst_noreverb,790739,839287,82.36,87.42,f2afe800
abl,inst_worst_nogrit,856308,907088,89.19,94.48,9eac08fc
abl,inst_worst_choked,856953,923345,89.26,96.18,cd90d415
abl,limiter_clean,7624,7666,0.79,0.79,c71498e1
abl,limiter_driven,22314,22372,2.32,2.33,17e01bb9
abl,echo_short_sram,10224,10393,1.06,1.08,9806cc26
abl,echo_short_sdram,11981,12936,1.24,1.34,9806cc26
abl,grit_drive_solo,14739,14799,1.53,1.54,f57bd5c9
abl,grit_reduce_solo,27008,27160,2.81,2.82,5ef36dbb
taps,taps_2_opt,33604,34244,3.50,3.56,98f63683
taps,tap_read_sdram,20577,23060,2.14,2.40,e8b16665
sampler,sampler_flow_typ,108944,140849,11.34,14.67,247b22df
sampler,sampler_flow_worst,176441,235328,18.37,24.51,c3df82cc
sampler,sampler_overdub_worst,196231,247863,20.44,25.81,a1d410b2
sampler,sampler_scan_ctrl,179662,237928,18.71,24.78,eff84013
sampler,sampler_win_sram,146167,190325,15.22,19.82,906cbfc8
sampler,sampler_win_sdram,170471,221132,17.75,23.03,906cbfc8
sampler,inst_sampler_worst,879331,1120740,91.59,116.74,ae856249
